speaker_org,statement,right
Greg Smith,"Precisely what does the Minister mean by it? To convince the Committee that these powers are necessary, can the Minister name one occasion on which the Government's ability to enforce the provisions of the maritime labour convention has been found wanting, and in what respect? If such an example exists, could the Government better target the powers in proposed new section 84B(4) of the Merchant Shipping Act 1995 to actually solve the problem, rather than allow a Government free-for-all?",STRIKE
Greg Smith,"As if the Government had not hoarded enough power through this new clause, proposed new section 84B(8) contains the real kicker, stating that regulations may  ""make different provision for different purposes"". Will the Minister explain the limits on this power? That language is far too woolly and loose to be contained in any piece of primary legislation in this country.",STRIKE
Greg Smith,"I also do not think it is appropriate that regulations to  ""make such provision as the Secretary of State considers appropriate for the purpose of giving effect to an international agreement that has been ratified by the United Kingdom, so far as the agreement relates to maritime employment""  should be subject to the negative procedure. The regulations apply to international agreements that have not yet been entered into. Parliament should at least be guaranteed the ability to debate regulations that implementing such agreements.",GENERAL
Greg Smith,"The Government tabled new clause 52 just in time for debate today; we have been given very little opportunity to scrutinise it. Given the powers it takes for Ministers, I gently suggest that that is discourteous to the House. The least the Minister can do is provide answers to each of the questions I have posed, so that we are able to understand a little better whether the new clause is even necessary and to what use Ministers actually intend to put the powers.",GENERAL
Sir Ashley Fox,"The maritime labour convention, which was adopted on 23 February 2006, and the work in fishing convention, adopted on 14 June 2007, represent significant international agreements aimed at improving the working conditions and rights of seafarers and those working in the fishing industry. However, despite their adoption many years ago, the provisions in those conventions have not yet been fully legislated for within the UK framework. One must ask why the previous Labour Government did not introduce this crucial provision into UK law during their time in office.",GENERAL
Sir Ashley Fox,"The conventions were in existence long before the current Government came to power, and it is concerning that they were not prioritised earlier. What led to that omission, and why has it taken so long to bring them into the scope of our legislation? Given the importance of these rights, we must understand why it has taken so long for the Government to act on these matters.",GENERAL
Sir Ashley Fox,It is important to explore whether such overreach is truly necessary and what specific circumstances justify such broad powers.,GENERAL
Sir Ashley Fox,"A fundamental part of this debate revolves around the question: what regulations are actually required to implement the two conventions? Although the Government claim that the regulations are necessary to meet the commitments set out in the conventions, the Minister should provide specific examples of the types of regulations that the Government intend to create under this broad power. If he did so, the Committee would be better able to assess the scope and impact of the regulations and determine whether they are necessary.",GENERAL
Sir Ashley Fox,"Furthermore, the Government must be transparent in justifying the regulations they propose. It is essential for Parliament to know the precise nature of the regulations and how they will directly benefit seafarers and those working in the fishing industry. Article VI of the maritime labour convention outlines a series of fundamental rights for seafarers, including  ""the right to a safe and secure workplace…fair terms of employment…decent working and living conditions on board ship""  and  ""health protection, medical care, welfare measures and other forms of social protection.""",STRIKE
Sir Ashley Fox,"Given that those rights are clearly outlined and vital to the protection of seafarers, I ask the Minister: which of them are not already enforceable under UK law? Are there specific gaps in current legislation that prevent their effective enforcement? If so, will the Government provide clarity as to why those gaps have persisted for so long, and what specific measures are now being introduced to address them?",STRIKE
Sir Ashley Fox,"Additionally, I would appreciate clarification on whether there are any difficulties in implementing the responsibilities outlined in article V of the maritime labour convention. This article focuses on the implementation and enforcement of the convention's provisions, which are essential for protecting workers in the maritime sector. Have the Government encountered challenges in enforcing the responsibilities under current law?",STRIKE
Sir Ashley Fox,"If so, what specific issues have arisen, and how do the Government plan to resolve them? Providing these details will help us to better understand the need for the proposed legislative changes.",GENERAL
Sir Ashley Fox,"Will the Minister clarify whether any of the provisions of the work in fishing convention are currently unenforceable under UK law? If so, what specific provisions are problematic, and what changes will be required to ensure that they can be effectively enforced? Given the significant risks faced by workers in the fishing industry, it is crucial that the provisions are enforced, so Ministers should provide a clear outline of the steps the Government intend to take to close any gaps in enforcement.",GENERAL
Sir Ashley Fox,"Could this lead to unnecessary or intrusive burdens on businesses, workers or even individuals involved in maritime employment?",GENERAL
Sir Ashley Fox,"The Minister must clarify what the power entails and provide reassurance that it will not lead to overreach or misuse. To emphasise my concern further, I ask the Minister to point to any specific occasions when the Government's ability to enforce the provisions of the maritime labour convention has been found lacking. Can the Minister cite an example of where existing mechanisms were insufficient to uphold the conventions?",STRIKE
Sir Ashley Fox,"If such an example exists, I suggest that we focus on targeting solutions directly at the root of the problem, rather than resorting to broad, unchecked powers, as provided for in proposed new section 84B(4). This warrants focused action, not a sweeping Government mandate.",GENERAL
Sir Ashley Fox,"Detaining a vessel can have significant financial and operational consequences, so it is critical to understand the scope and limits of the power.",STRIKE
Sir Ashley Fox,"What limits are in place to ensure that this power is not used in an arbitrary or disproportionate way? It is essential for Parliament to understand the boundaries of the power and to ensure that it cannot be misused in the future. This is not so much a Henry VIII clause as a Louis XIV clause, allowing the Government to do precisely what they like without any restriction of any description whatsoever.",STRIKE
Sir Ashley Fox,"I have serious concerns about the fact that regulations to implement international agreements, including those relating to maritime employment, are subject to the negative procedure. That means that Parliament could be denied the opportunity to debate the regulations in detail. Given the significant impact of the regulations on workers and employers alike, Parliament should be guaranteed the ability to discuss and scrutinise them thoroughly.",GENERAL
Sir Ashley Fox,"The current approach of granting Ministers unchecked power is concerning and, as I have outlined, leaves little room for proper oversight. Moreover, the Government have introduced new clause 52 with very little opportunity for us to scrutinise its content. This rushed approach to legislation is discourteous to the House and undermines the democratic process.",GENERAL
Sir Ashley Fox,"With so many critical powers being handed to Ministers, we should have been given ample time to examine the proposal and assess its implications fully. We as lawmakers need to be able to better understand the necessity and potential consequences of the new clause.",GENERAL
Justin Madders,The whole suite of amendments and new clauses are in response to concerns that were rightly highlighted by all parties in condemning the P&amp;O debacle and its underlying motives to undercut existing UK workers and employment laws by transferring people to lower terms and conditions. It is about stopping that race to the bottom.,SECURITY
Justin Madders,"Members will recall the evidence from representatives of the sector in Committee sittings in November. They welcomed the provisions and were keen to see them introduced, because they wanted a level playing field. They did not want to be undercut by people who would seek to pay their staff the minimum necessary.",GENERAL
Justin Madders,"I point out to Opposition Members that the conventions are already UK law. The measures in this group seek to ensure that when they are amended in future, there will be an opportunity to update our own laws to reflect any changes in the conventions. It was a fair question from the shadow Minister to ask what the conventions cover, and they obviously look at it important issues such as maximum hours of work, medical care, accommodation and access to food and drinking water.",GENERAL
Justin Madders,"The maritime labour convention has been amended several times, with new requirements coming in only last month for seafarers to be provided with food and drinking water free of charge during their engagement, as well as provisions in relation to personal protective equipment and ensuring that they have access to social connectivity while at sea. The new measures are important to improve the working conditions of seafarers, and we currently do not have a mechanism to update our own laws to reflect them.",STRIKE
Justin Madders,We now need powers in our own legislation to ensure that we can keep up to date with developments in maritime law and protections. The shadow Minister asked how the powers might be used.,STRIKE
Justin Madders,We need to ensure that the powers in the legislation enable us to keep up with those important protections.,GENERAL
Justin Madders,The point about the negative procedure was noted. The drafting indicates that the initial implementation of regulations will be done by the affirmative procedure and thereafter changes to the law will be made by the negative procedure on the basis that those will be much more modest.,GENERAL
Justin Madders,"If we are going to ensure compliance with international obligations, it is important that those subject to them can document their compliance with the regulations. There is therefore a power to ensure that those records are produced to demonstrate compliance. That is not a departure from the existing arrangements.",GENERAL
Justin Madders,The powers that we seek to introduce are important to make sure that we keep up to date with the latest developments in international maritime law. It is important that there is a level playing field and that people doing this difficult and important work are protected. We must ensure that we never have a situation where employers such as P&amp;O attempt a race to the bottom and we must ensure that standards are maintained across the board.,STRIKE
Justin Madders,"New Clause 52  International agreements relating to maritime employment  ""(1) The Merchant Shipping Act 1995 is amended as follows. (2) After section 84 insert-  'Part 3A  International agreements relating to maritime employment  84A International agreements relating to maritime employment  (1) The Secretary of State may by regulations make such provision as the Secretary of State considers appropriate for the purpose of giving effect to-  (a) the Maritime Labour Convention, adopted on 23 February 2006 by the International Labour Organisation, as it has effect from time to time;  (b) the Work in Fishing Convention, adopted on 14 June 2007 by the International Labour Organisation, as it has effect from time to time. (2) The Secretary of State may by regulations make such provision as the Secretary of State considers appropriate for the purpose of giving effect to an international agreement that has been ratified by the United Kingdom, so far as the agreement relates to maritime employment.",GENERAL
Justin Madders,"84B Regulations under section 84A: supplementary  (1) In subsections (2) to (9) ""regulations"" means regulations under section 84A.  (2) Regulations-  (a) may make provision in terms of approvals given by the Secretary of State or another person and in terms of any document which the Secretary of State or that other person considers relevant;  (b) may provide for the cancellation of an approval given in pursuance of the regulations and for the alteration of the terms of such an approval;  (c) must provide for any approval in pursuance of the regulations to be given in writing and to specify the date on which it takes effect and the conditions (if any) on which it is given. (3) Regulations may make provision for-  (a) the granting by the Secretary of State or another person of exemptions from specified provisions of the regulations for classes of case or individual cases, on such terms (if any) as the Secretary of State or that other person may specify, and  (b) for the alteration or cancellation of such exemptions.",STRIKE
Justin Madders,"(4) Regulations may make provision in respect of the checking or monitoring of compliance with any provision of the regulations, including (among other things) provision for-  (a) the making and keeping of records and the keeping of documents;  (b) the issue of certificates;  (c) the furnishing of information. (5) Regulations may-  (a) provide for the detention of a ship in respect of which a contravention of the regulations is suspected to have occurred;  (b) apply section 284 with or without modifications in relation to such detentions. (6) Regulations may provide for the contravention of any provision of the regulations to be a criminal offence, but may not provide-  (a) for an offence under the regulations to be punishable on summary conviction with imprisonment;  (b) in relation to Scotland or Northern Ireland-  (i) for an offence under the regulations that is triable only summarily to be punishable by a fine exceeding level 5 on the standard scale;  (ii) for an offence under the regulations that is triable summarily or on indictment to be punishable on summary conviction by a fine exceeding the statutory maximum;  (c) for an offence under the regulations to be punishable on conviction on indictment with imprisonment for a term exceeding two years.",STRIKE
The Chair,"This new clause would repeal, with respect to trade unions representing prison officers, provisions that prohibit the inducement of industrial action or indiscipline by a prison officer. Amendment 2, in clause 118, page 104, line 32, at end insert-  ""(aa) section [Prison officers: inducements to withhold services];"". This is a consequential amendment to NC2 to ensure the implementation of the repeal of relevant provisions in the Criminal Justice and Public Order Act 1994.",GENERAL
Mr Bedford,I believe that it is important that the Committee hear and debate in full every proposed amendment to this truly awful Bill.,GENERAL
Mr Bedford,I will take the time to outline why I believe this would be a step in the wrong direction.,GENERAL
Mr Bedford,"Prisons are essential for every functioning society. They serve out punishment, act as a deterrent and reform offenders. The prison guard-or screw, to use the colloquial vernacular-plays a crucial role in maintaining these key purposes.",GENERAL
Mr Bedford,"The prisons offer three incredible employment opportunities for my constituents in Mid Leicestershire, but I fundamentally believe that they would be deeply concerned about the provisions in these new clauses. What would happen in these prisons on strike day? Would prisoners be able to do as they pleased?",GENERAL
Mr Bedford,"Most importantly, for my constituents, who is there to stop these prisoners getting out of the prison grounds? We could have a situation whereby, within a short journey of Mid Leicestershire, hundreds of inmates are on the run. Furthermore, with the funding settlement that the Government have announced for rural areas such as Mid Leicestershire, it is questionable whether the police would be able to catch those who have escaped.",GENERAL
Mr Bedford,"I believe that the public would be particularly sceptical about new clauses 2 and 3 because of the riots that they have seen on prison grounds, which unfortunately have happened even when prison officers have been on the premises. For example, many remember the riots at Strangeways in 1990, which were caused by poor officer-prisoner relations and poor conditions on prison grounds. I am also concerned about the two-tier impact on police and prison officers.",GENERAL
Mr Bedford,"The policing profession is intrinsically linked to that of prison officers. Police officers are at the heart of keeping the public safe. Police officers throughout the UK join the profession willingly and, because of their professionalism, accept that they will never be able to strike.",EQUAL
Mr Bedford,"Police officers throughout the UK know how important it is to keep the public safe. In fact, many police officers I talk to express their annoyance at how little they can do to fight real crime when a lot of their time is taken up by other issues, such as non-crime hate incidents and investigating dubious posts on social media.",EQUAL
Mr Bedford,"However, the crux of the argument against new clauses 2 and 3 is public safety and the lack of supervision should they be accepted. I therefore hope that they are not added to the Bill.",STRIKE
Steve Darling (Torbay) (LD),"I am sure that my residents would be horrified that these proposals are seeing the light of day in the Committee. I am shocked that Conservative Members are putting them out there. I expected us just to pass on by them, but I want to make sure that it is on the record that the Liberal Democrats do not support these rather peculiar proposals, which have only seen the light of day thanks to a Conservative Member.",GENERAL
Justin Madders,"It is important that we put on the record our appreciation for the work of prison officers. They work in difficult environments every day, dealing with very challenging people, and we recognise that they are critical to keeping the public safe.",GENERAL
Justin Madders,"Under the current legislation, prison officers are prevented from taking industrial action, and their pay is governed by the independent Prison Service Pay Review Body, which acts as a compensatory mechanism for that restriction.",GENERAL
Justin Madders,We need to ensure that everyone who works in a prison has the right to decent conditions and a fair reward for their hard work.,WAGES
Justin Madders,"The Government are committed to achieving that, but I believe that we can do so without the need for legislative change.",STRIKE
Justin Madders,"A withdrawal of their services, as we have heard, even if only partial, would create a risk to order and to the life and limb of individuals. There are limited contingency plans in place to deal with strike action and, during such incidents, reliance on a narrow pool of operational managers and support from the police would create risks.",STRIKE
Justin Madders,"I am sure that Members do not need that spelling out. This would also result in significant disruption to the operation of the courts and the police, representing a significant risk to public safety.",STRIKE
Justin Madders,"I know that the POA is very keen, understandably, to have this proposal enacted.",GENERAL
Justin Madders,"I understand their view, but we cannot agree to this at this point. I do not know whether the amendment will be pushed to a vote-I suspect that it will not be, from what the hon.",STRIKE
Steve Darling,"However, this is not about public ownership but is actually about non-disclosure agreements. Non-disclosure agreements were originally about keeping trade secrets but, over recent years, they have proliferated and, sadly, have kept shameful secrets away from the public eye in situations where light needs to be cast to make sure that things are tackled.",GENERAL
Steve Darling,"As for the bigger picture of where NDAs have been used at an industrial level, one only has to look at Harrods and the stories that have come up around sexual harassment. Part of the Bill is about trying to tackle harassment and sexual harassment.",EQUAL
Steve Darling,"As I alluded to with Mohamed al-Fayed, these were used at an industrial level when people were at a very confused stage, and were very vulnerable.",GENERAL
Steve Darling,We have already seen Ireland take this step.,STRIKE
Greg Smith,"Our challenge to the proposal put forward by the hon. Member for Torbay on behalf of the third party is about understanding where the shortfalls are in existing whistleblower legislation that make the amendment necessary. I heard what he said about his personal experience, but our analysis of the provisions of legislation that is active and live now, as we consider the new clause in Committee, shows that whistleblowing legislation already covers what he is trying to achieve.",STRIKE
Justin Madders,"As has been said, NDAs can be used quite legitimately in different contexts and contracts. As the responsible Department for the use of NDAs in employment relationships, we recognise that they can have a legitimate role, such as to protect trade secrets, intellectual property and commercially sensitive information. Of course their most common use is in allowing workers and employers to reach a settlement on a dispute or a claim.",GENERAL
Justin Madders,"It goes without saying that a worker may want to settle a dispute and receive the confidentiality protections associated with a settlement agreement to avoid going through an employment tribunal, which can be a distressing experience in itself. Having a non-disclosure agreement can also increase the value of such an agreement, depending how negotiations go.",GENERAL
Justin Madders,"There are existing legal limits to the use of NDAs in the employment context. For example, any clauses of an NDA that sought to stop a worker blowing the whistle to a lawyer or a prescribed person under the legislation would not be enforceable. The use of an NDA by an employer may amount to a criminal offence if it is an attempt by the employer to pervert the course of justice or conceal a criminal offence.",STATUS
Justin Madders,"None the less, workers may not be aware of their rights.",STRIKE
Justin Madders,"Member for Torbay mentioned, particularly in relation to sexual harassment, discrimination and bullying in the workplace. Last year, the Women and Equalities Committee inquiry into misogyny in music and the Treasury Committee inquiry into sexism in the City reported on the misuse of NDAs in specific sectors and industries. Their reports highlighted how NDAs can have a silencing effect on some victims, who come under pressure to sign an NDA and are not aware of their existing rights, and how NDAs may be a part of wider organisational cultures and practices for some employers.",EQUAL
Justin Madders,"Overall, those reports highlight that, while we have seen some progress and some positive developments, the issues in this space are multiple and persistent.",GENERAL
Justin Madders,"The Government are live to the concerns about the misuse of NDAs to intimidate and silence victims of crime and other types of misconduct, particularly harassment, discrimination, and bullying. The Victims and Prisoners Act 2024 contains a measure that, when commenced, will ensure that victims can report a crime, co-operate with regulators and access confidential advice and support without fear of legal action. It does so by providing that any clauses in NDAs seeking to prevent those actions cannot legally be enforced.",GENERAL
Justin Madders,The Ministry of Justice is carefully considering plans to bring the relevant section of that Act into force and will be working closely with the victim support and business sectors to ensure that the new measure is implemented and deployed effectively. We continue to listen carefully to representations on further action needed to curb the misuse of NDAs.,GENERAL
Justin Madders,"The specific wording that is proposed today would make any provision in an agreement precluding a worker from making a relevant disclosure that relates to harassment carried out by a fellow worker, or client of their employer, unenforceable. Under the consequential amendment, the measure would come into force on the day that this legislation is passed. I have some reservations about the amendment as drafted, as it would make a significant change from the current position and there might be unintended consequences.",STRIKE
Justin Madders,"To render provisions related to disclosures on harassment unenforceable could have negative effects on both workers and employers. A worker may want to settle a dispute over harassment and receive the confidentiality protections associated with a settlement agreement. The proposal may also impact on their ability to reach a settlement and avoid going to an employment tribunal, or may indeed reduce the value of such an agreement.",EQUAL
Justin Madders,"The amendment may also lead to uncertainty for both employers and workers who have entered into NDAs previously. The Government are looking into this. There is obviously some evidence, and there was a Government consultation, but that was some time ago, so we intend to look more closely at what we can do in this area.",STATUS
Justin Madders,"I have met some of the interested parties and there are other proposals to deal with this issue that might be slightly more workable than those in the new clause proposed by the Liberal Democrat spokesperson. I say to him that although we are aware of this issue and know it needs attention, we are not able to support the new clause.",GENERAL
Nick Timothy,"Despite the differences of opinion expressed during these weeks in Committee, we all believe that the rights of workers are essential. In that spirit, I hope that Members across the political divide can see the merit in what I am proposing today.",GENERAL
Nick Timothy,"The labour abuse that the new clause seeks to address is the use of substitution clauses to flout labour laws and fuel the employment of illegal workers. Transparency is essential to guarantee fairness and justice in the labour market, and the unlawful labour of undocumented migrants and others who might be paid less than the minimum wage or be given no legal protections is obviously not good for the workers themselves, for our society, for taxpayers, or for anyone who wants a law-abiding society. It is my understanding that Ministers will be consulting on employment status, and that they are considering moving to a two-part legal framework that identifies people who are genuinely self-employed as part of their work in the gig economy.",GENERAL
Nick Timothy,"That is obviously worth doing, but the new clause addresses a narrower issue that is clearly causing significant abuse and exploitation right now.",GENERAL
Nick Timothy,For years now we have heard stories of the rampant abuse and fraud committed under the auspices of these companies.,GENERAL
Nick Timothy,"With its substitution clauses, Amazon tells couriers that it is their  ""responsibility to pay your substitute…at any rate you agree with them"",  and  ""you must ensure that any substitute…has the right to work in the UK"". It is a dereliction of duty on the part of these big employers to pass the responsibility for compliance with criminal and right-to-work checks on to their workers. They clearly have an interest in maintaining the status quo where undocumented migrants are taking the lowest fees in the delivery apps.",STRIKE
Nick Timothy,"Although those numbers are not adjusted for inflation, it is clear to see how pay and conditions have worsened for riders.",WAGES
Nick Timothy,"By undercutting domestic workers and exploiting those with no legal right to be here, companies are privatising profits and socialising costs.",GENERAL
Nick Timothy,"Promises from the companies to introduce tougher security checks have not made this problem go away, and nobody should be above the law. Action is sometimes taken by the authorities, but progress has been too slow.",GENERAL
Nick Timothy,My argument is that we cannot wait for judges to act; it is our job as parliamentarians to legislate when there are clear abuses of power and clear social problems caused by behaviour that the law currently allows.,STRIKE
Nick Timothy,"There is plenty of evidence that this is acting as a magnet for illegal migrants, and obviously it has an incredibly negative effect on the illegal migrants themselves.",GENERAL
Nick Timothy,"Working for less than the minimum wage, they were unable to rent a proper home.",WAGES
Nick Timothy,The undocumented migrants who find themselves in these situations are being exploited for profit by some of the country's biggest and richest companies.,GENERAL
Nick Timothy,"People working legally have reported problems to the police and the Home Office, but this has helped to fuel tensions as riders compete for orders. It sometimes even leads to violent clashes between those working legally and those working illegally in places such as Brighton and London, including physical beatings and damage to some riders' bikes. It is shameful that riders who are working legally and following the rules are being intimidated for reporting on illegal working.",STRIKE
Nick Timothy,They should not be punished for helping to tackle a problem that Parliament itself has been negligent in failing to address.,STRIKE
Nick Timothy,"A spokesman for the App Drivers &amp; Couriers Union-we like to listen to unions in this Committee-has said publicly  ""there is this loophole that allows some bad people to come through. They are not vetted so they could do anything.""",EQUAL
Nick Timothy,"For example, undocumented workers have been found to commit sexual harassment and violence against women, but they cannot be tracked by the authorities because they have been using other riders' accounts.",EQUAL
Nick Timothy,"I appreciate that the new clause will not solve the problem completely, but it can surely act as an important part of the solution in helping the police to catch criminals by creating a documentary chain for them to investigate and by stopping these criminals from hiding behind anonymity.",GENERAL
Nick Timothy,"Amazon, Uber, Deliveroo and the rest would have to do their due diligence just like any other company, and ensure that all their riders are who they say they are and have the right to work in this country.",STRIKE
Nick Timothy,"Introducing such a change would reduce labour abuse, protect our communities, and deliver a fairer system. It also fits within the internal logic of the Bill.",GENERAL
